origin_loc_id,pickup_hour,actual_demand,loc_id,zone_name,borough_name
79,2026-03-01 00:00:00,823,79,East Village,Manhattan
79,2026-03-01 01:00:00,889,79,East Village,Manhattan
79,2026-03-01 02:00:00,681,79,East Village,Manhattan
79,2026-03-01 03:00:00,487,79,East Village,Manhattan
79,2026-03-01 04:00:00,183,79,East Village,Manhattan
79,2026-03-01 05:00:00,57,79,East Village,Manhattan
79,2026-03-01 06:00:00,36,79,East Village,Manhattan
79,2026-03-01 07:00:00,26,79,East Village,Manhattan
79,2026-03-01 08:00:00,45,79,East Village,Manhattan
79,2026-03-01 09:00:00,58,79,East Village,Manhattan
79,2026-03-01 10:00:00,80,79,East Village,Manhattan
79,2026-03-01 11:00:00,102,79,East Village,Manhattan
79,2026-03-01 12:00:00,110,79,East Village,Manhattan
79,2026-03-01 13:00:00,128,79,East Village,Manhattan
79,2026-03-01 14:00:00,106,79,East Village,Manhattan
79,2026-03-01 15:00:00,99,79,East Village,Manhattan
79,2026-03-01 16:00:00,134,79,East Village,Manhattan
79,2026-03-01 17:00:00,113,79,East Village,Manhattan
79,2026-03-01 18:00:00,180,79,East Village,Manhattan
79,2026-03-01 19:00:00,141,79,East Village,Manhattan
79,2026-03-01 20:00:00,124,79,East Village,Manhattan
79,2026-03-01 21:00:00,156,79,East Village,Manhattan
79,2026-03-01 22:00:00,119,79,East Village,Manhattan
79,2026-03-01 23:00:00,66,79,East Village,Manhattan
79,2026-03-02 00:00:00,52,79,East Village,Manhattan
79,2026-03-02 01:00:00,23,79,East Village,Manhattan
79,2026-03-02 02:00:00,17,79,East Village,Manhattan
79,2026-03-02 03:00:00,18,79,East Village,Manhattan
79,2026-03-02 04:00:00,14,79,East Village,Manhattan
79,2026-03-02 05:00:00,20,79,East Village,Manhattan
79,2026-03-02 06:00:00,56,79,East Village,Manhattan
79,2026-03-02 07:00:00,83,79,East Village,Manhattan
79,2026-03-02 08:00:00,111,79,East Village,Manhattan
79,2026-03-02 09:00:00,95,79,East Village,Manhattan
79,2026-03-02 10:00:00,56,79,East Village,Manhattan
79,2026-03-02 11:00:00,61,79,East Village,Manhattan
79,2026-03-02 12:00:00,56,79,East Village,Manhattan
79,2026-03-02 13:00:00,52,79,East Village,Manhattan
79,2026-03-02 14:00:00,44,79,East Village,Manhattan
79,2026-03-02 15:00:00,47,79,East Village,Manhattan
79,2026-03-02 16:00:00,37,79,East Village,Manhattan
79,2026-03-02 17:00:00,70,79,East Village,Manhattan
79,2026-03-02 18:00:00,92,79,East Village,Manhattan
79,2026-03-02 19:00:00,81,79,East Village,Manhattan
79,2026-03-02 20:00:00,125,79,East Village,Manhattan
79,2026-03-02 21:00:00,113,79,East Village,Manhattan
79,2026-03-02 22:00:00,85,79,East Village,Manhattan
79,2026-03-02 23:00:00,51,79,East Village,Manhattan
79,2026-03-03 00:00:00,42,79,East Village,Manhattan
79,2026-03-03 01:00:00,21,79,East Village,Manhattan
79,2026-03-03 02:00:00,13,79,East Village,Manhattan
79,2026-03-03 03:00:00,6,79,East Village,Manhattan
79,2026-03-03 04:00:00,11,79,East Village,Manhattan
79,2026-03-03 05:00:00,13,79,East Village,Manhattan
79,2026-03-03 06:00:00,56,79,East Village,Manhattan
79,2026-03-03 07:00:00,71,79,East Village,Manhattan
79,2026-03-03 08:00:00,120,79,East Village,Manhattan
79,2026-03-03 09:00:00,124,79,East Village,Manhattan
79,2026-03-03 10:00:00,71,79,East Village,Manhattan
79,2026-03-03 11:00:00,51,79,East Village,Manhattan
79,2026-03-03 12:00:00,58,79,East Village,Manhattan
79,2026-03-03 13:00:00,63,79,East Village,Manhattan
79,2026-03-03 14:00:00,68,79,East Village,Manhattan
79,2026-03-03 15:00:00,72,79,East Village,Manhattan
79,2026-03-03 16:00:00,50,79,East Village,Manhattan
79,2026-03-03 17:00:00,78,79,East Village,Manhattan
79,2026-03-03 18:00:00,125,79,East Village,Manhattan
79,2026-03-03 19:00:00,138,79,East Village,Manhattan
79,2026-03-03 20:00:00,201,79,East Village,Manhattan
79,2026-03-03 21:00:00,258,79,East Village,Manhattan
79,2026-03-03 22:00:00,197,79,East Village,Manhattan
79,2026-03-03 23:00:00,79,79,East Village,Manhattan
79,2026-03-04 00:00:00,48,79,East Village,Manhattan
79,2026-03-04 01:00:00,30,79,East Village,Manhattan
79,2026-03-04 02:00:00,32,79,East Village,Manhattan
79,2026-03-04 03:00:00,21,79,East Village,Manhattan
79,2026-03-04 04:00:00,23,79,East Village,Manhattan
79,2026-03-04 05:00:00,19,79,East Village,Manhattan
79,2026-03-04 06:00:00,46,79,East Village,Manhattan
79,2026-03-04 07:00:00,77,79,East Village,Manhattan
79,2026-03-04 08:00:00,137,79,East Village,Manhattan
79,2026-03-04 09:00:00,108,79,East Village,Manhattan
79,2026-03-04 10:00:00,66,79,East Village,Manhattan
79,2026-03-04 11:00:00,48,79,East Village,Manhattan
79,2026-03-04 12:00:00,51,79,East Village,Manhattan
79,2026-03-04 13:00:00,57,79,East Village,Manhattan
79,2026-03-04 14:00:00,70,79,East Village,Manhattan
79,2026-03-04 15:00:00,64,79,East Village,Manhattan
79,2026-03-04 16:00:00,44,79,East Village,Manhattan
79,2026-03-04 17:00:00,64,79,East Village,Manhattan
79,2026-03-04 18:00:00,104,79,East Village,Manhattan
79,2026-03-04 19:00:00,129,79,East Village,Manhattan
79,2026-03-04 20:00:00,168,79,East Village,Manhattan
79,2026-03-04 21:00:00,186,79,East Village,Manhattan
79,2026-03-04 22:00:00,218,79,East Village,Manhattan
79,2026-03-04 23:00:00,118,79,East Village,Manhattan
79,2026-03-05 00:00:00,92,79,East Village,Manhattan
79,2026-03-05 01:00:00,46,79,East Village,Manhattan
79,2026-03-05 02:00:00,31,79,East Village,Manhattan
79,2026-03-05 03:00:00,14,79,East Village,Manhattan
79,2026-03-05 04:00:00,17,79,East Village,Manhattan
79,2026-03-05 05:00:00,19,79,East Village,Manhattan
79,2026-03-05 06:00:00,64,79,East Village,Manhattan
79,2026-03-05 07:00:00,109,79,East Village,Manhattan
